vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,1,1105,45.31,34,33,544,1994.97,1937.25,57.72,483,39,39
1,2,2,1093,30.187,33,31,480,1710.54,1695.36,15.18,541,36,36
2,3,3,1072,30.416,41,37,510,1781.13,1684.64,96.49,476,43,43
3,4,4,1110,29.186,35,33,498,1787.09,1722.03,65.06,530,41,41
4,5,5,1097,49.979,38,34,505,1773.78,1668.92,104.86,508,42,42
5,6,6,1128,68.06,36,32,517,1856.02,1756.52,99.5,537,37,37
6,7,7,1093,68.678,39,34,488,1687.05,1585.26,101.79,519,43,43
7,8,8,1034,68.184,38,34,469,1650.8,1593.86,56.94,481,42,42
8,9,9,1098,62.904,42,35,500,1754.46,1588.84,165.62,514,42,42
9,10,10,1025,34.128,32,30,458,1665.96,1572.68,93.28,491,38,38
10,1,1,1014,42.545,29,27,433,1565.52,1496.35,69.17,519,31,31
11,2,2,1064,52.021,39,32,481,1663.54,1472.68,190.86,505,39,39
12,3,3,1056,29.815,35,29,447,1570.4,1375.82,194.58,543,33,33
13,4,4,1097,17.698,44,36,528,1836.3,1595.76,240.54,487,41,41
14,5,5,981,16.517,39,32,461,1587.88,1440.39,147.49,440,40,40
15,6,6,1007,26.592,37,32,453,1565.79,1449.19,116.6,468,43,43
16,7,7,993,63.809,38,33,423,1428.45,1343.46,84.99,488,41,41
17,8,8,984,47.634,43,33,450,1498.65,1282.03,216.62,458,38,38
18,9,9,1118,59.738,38,32,450,1544.92,1379.4,165.52,590,39,39
19,10,10,1102,111.084,43,35,487,1649.95,1481.29,168.66,531,42,42
20,1,1,1050,102.483,39,34,428,1455.44,1384.71,70.73,544,39,39
21,2,2,1093,51.449,42,34,467,1569.87,1459.73,110.14,544,41,41
22,3,3,1079,113.614,37,31,449,1582.34,1379.36,202.98,554,38,38
23,4,4,1105,45.674,47,35,468,1533.53,1296.98,236.55,547,45,45
24,5,5,1057,101.348,44,36,468,1576.82,1387.29,189.53,505,42,42
25,6,6,1058,32.083,48,35,445,1427.25,1141.06,286.19,523,45,45
26,7,7,1028,34.346,42,32,455,1537.88,1327.4,210.48,499,37,37
27,8,8,1058,76.42,46,39,468,1583.28,1443.18,140.1,494,48,48
28,9,9,1019,31.378,45,34,457,1522.29,1275.66,246.63,488,37,37
29,10,10,1073,48.535,44,33,461,1548.31,1248.1,300.21,534,39,39
30,1,1,1049,80.621,44,31,421,1362.53,1079.93,282.6,556,36,36
31,2,2,1062,88.442,46,37,435,1407.17,1232.17,175.0,541,43,43
