vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,1,1092,44.564,33,32,528,1912.98,1855.26,57.72,480,42,42
1,2,2,1122,43.791,34,32,510,1826.7,1757.59,69.11,534,39,39
2,3,3,1100,28.162,35,33,490,1749.87,1722.83,27.04,526,42,42
3,4,4,1119,45.753,33,31,489,1768.69,1689.83,78.86,546,42,42
4,5,5,1050,19.809,31,30,466,1685.63,1623.59,62.04,520,32,32
5,6,6,1096,38.274,36,33,471,1672.4,1559.42,112.98,553,36,36
6,7,7,1092,72.944,37,33,508,1804.0,1702.87,101.13,504,40,40
7,8,8,1010,95.024,32,30,448,1620.05,1579.95,40.1,496,33,33
8,9,9,1099,54.012,35,32,460,1611.64,1544.48,67.16,561,39,39
9,10,10,973,30.468,25,22,353,1262.29,1164.39,97.9,564,28,28
10,1,1,1078,112.538,34,31,444,1558.12,1512.43,45.69,554,40,40
11,2,2,1029,71.358,30,28,398,1397.94,1325.64,72.3,553,39,39
12,3,3,986,47.913,34,28,388,1345.57,1208.44,137.13,528,35,35
13,4,4,1093,86.848,38,32,426,1437.51,1345.45,92.06,587,40,40
14,5,5,996,39.924,40,34,471,1601.51,1477.53,123.98,447,39,39
15,6,6,1099,46.331,36,33,440,1512.38,1466.7,45.68,571,44,44
16,7,7,1101,42.328,39,32,444,1517.28,1379.76,137.52,583,37,37
17,8,8,983,37.394,39,33,428,1429.01,1335.13,93.88,473,41,41
18,9,9,1058,38.098,39,28,424,1414.84,1200.32,214.52,564,35,35
19,10,10,994,32.547,34,29,409,1427.36,1282.53,144.83,507,39,39
20,1,1,1085,57.979,37,32,452,1550.82,1479.68,71.14,559,37,37
21,2,2,982,36.196,34,27,354,1126.48,999.65,126.83,560,34,34
22,3,3,1011,48.482,28,24,358,1258.98,1137.36,121.62,597,28,28
23,4,4,1002,60.284,32,27,328,1093.97,969.32,124.65,612,31,31
24,5,5,952,39.514,28,22,318,1066.1,923.56,142.54,582,26,26
25,6,6,979,27.706,30,24,306,1022.06,851.36,170.7,617,28,28
26,7,7,910,51.93,38,30,375,1218.67,1082.14,136.53,463,36,36
27,8,8,970,83.132,36,30,371,1234.87,1157.12,77.75,529,35,35
28,9,9,964,104.41,34,27,328,1097.98,981.28,116.7,578,29,29
29,10,10,946,23.854,31,26,361,1219.24,1064.78,154.46,521,32,32
30,1,1,1106,36.023,28,25,337,1166.46,1086.62,79.84,705,32,32
31,2,2,953,52.038,31,27,334,1115.11,1028.22,86.89,553,33,33
32,3,3,1115,46.14,26,24,316,1098.27,1038.37,59.9,737,31,31
33,4,4,956,34.009,32,26,306,994.27,876.86,117.41,590,30,30
34,5,5,1066,84.855,40,29,323,962.95,815.93,147.02,673,35,35
35,6,6,947,27.488,38,30,359,1172.36,1012.63,159.73,512,38,38
36,7,7,952,22.887,33,28,317,1026.41,918.47,107.94,567,34,34
37,8,8,949,75.704,35,27,325,1020.9,900.9,120.0,560,32,32
38,9,9,942,113.064,27,22,286,941.48,867.43,74.05,604,26,26
39,10,10,1076,67.147,43,33,416,1337.8,1162.95,174.85,578,41,41
40,1,1,1035,28.989,41,32,369,1143.08,991.79,151.29,586,40,40
41,2,2,958,43.504,24,19,237,767.54,685.34,82.2,679,21,21
42,3,3,1063,85.312,28,21,273,855.43,744.42,111.01,740,25,25
43,4,4,1077,18.426,31,23,304,989.06,845.87,143.19,723,25,25
44,5,5,1042,98.218,20,14,206,653.47,564.05,89.42,802,17,17
45,6,6,1033,119.735,30,26,266,838.1,797.99,40.11,703,32,32
46,7,7,1052,27.34,34,23,291,914.3,732.82,181.48,711,25,25
47,8,8,1096,69.624,27,22,267,882.77,765.56,117.21,777,26,26
48,9,9,1057,69.368,18,13,196,651.85,536.58,115.27,827,17,17
49,10,10,1053,58.694,23,17,232,761.85,624.99,136.86,779,21,21
50,1,1,1049,102.976,25,21,234,754.93,699.56,55.37,761,27,27
51,2,2,1053,123.388,27,21,243,752.55,630.03,122.52,760,25,25
52,3,3,1041,117.034,34,27,306,943.06,812.5,130.56,665,35,35
53,4,4,1037,93.824,21,18,224,752.08,685.5,66.58,769,22,22
54,5,5,1128,40.264,41,31,351,1111.42,902.46,208.96,705,36,36
55,6,6,997,36.024,17,14,196,665.59,550.56,115.03,771,15,15
56,7,7,1115,62.201,30,24,295,956.8,844.4,112.4,760,30,30
57,8,8,968,78.713,35,25,300,934.73,712.15,222.58,608,30,30
58,9,9,987,118.294,35,27,292,915.95,762.21,153.74,627,34,34
59,10,10,1098,104.149,37,26,320,1024.61,842.89,181.72,702,38,38
60,1,1,1053,119.341,29,23,254,789.98,677.35,112.63,735,32,32
61,2,2,1040,105.37,39,28,311,927.16,783.75,143.41,655,37,37
62,3,3,985,68.818,17,12,175,601.31,457.33,143.98,776,17,17
63,4,4,997,57.594,20,17,222,769.29,668.37,100.92,729,23,23
64,5,5,1039,55.212,40,28,355,1090.58,854.7,235.88,624,30,30
65,6,6,1041,25.662,38,28,336,1047.95,833.15,214.8,643,31,31
66,7,7,995,72.944,21,18,205,661.38,577.14,84.24,748,21,21
67,8,8,1060,46.124,39,27,304,923.62,732.14,191.48,688,34,34
68,9,9,1056,33.611,38,28,331,1006.99,771.39,235.6,653,36,36
69,10,10,1000,43.174,18,14,175,574.21,459.89,114.32,785,20,20
70,1,1,1051,34.726,30,21,248,759.35,573.14,186.21,749,27,27
71,2,2,1084,45.06,39,29,320,912.54,730.83,181.71,694,35,35
72,3,3,1056,43.026,35,25,280,863.64,647.23,216.41,714,31,31
73,4,4,1002,86.064,20,14,180,563.82,435.13,128.69,790,16,16
74,5,5,1022,41.945,32,22,283,864.73,669.21,195.52,689,25,25
75,6,6,1066,25.283,34,25,308,941.81,757.74,184.07,694,32,32
76,7,7,1043,70.694,38,30,314,923.31,761.64,161.67,651,39,39
77,8,8,1052,67.391,27,22,242,737.6,630.87,106.73,756,27,27
78,9,9,1023,28.666,27,20,221,661.92,511.64,150.28,748,27,27
79,10,10,1075,43.174,34,26,328,1046.42,831.94,214.48,689,29,29
80,1,1,1046,32.995,26,19,195,580.99,455.89,125.1,801,25,25
81,2,2,996,41.299,18,14,192,648.15,508.77,139.38,768,18,18
82,3,3,991,107.614,27,21,229,726.68,616.9,109.78,710,26,26
83,4,4,1017,138.048,33,24,256,766.25,604.24,162.01,701,30,30
84,5,5,1011,74.924,23,19,220,711.82,593.38,118.44,743,24,24
85,6,6,1002,90.108,32,25,245,736.22,620.66,115.56,695,31,31
86,7,7,1057,67.684,30,24,251,782.17,603.2,178.97,746,30,30
87,8,8,1060,52.754,32,21,272,869.33,598.6,270.73,736,26,26
88,9,9,1082,46.034,34,22,308,975.03,708.0,267.03,718,28,28
89,10,10,994,64.314,20,15,220,735.08,558.03,177.05,738,18,18
90,1,1,1021,60.976,16,13,141,440.68,368.75,71.93,842,19,19
91,2,2,994,114.854,30,24,227,631.57,559.73,71.84,711,28,28
92,3,3,1035,61.004,22,17,172,518.22,400.11,118.11,821,21,21
93,4,4,879,118.008,24,18,183,549.36,438.96,110.4,648,24,24
94,5,5,997,78.628,27,20,213,617.7,476.02,141.68,732,26,26
95,6,6,995,95.048,25,17,207,554.27,389.78,164.49,742,23,23
96,7,7,1002,59.418,26,16,191,461.81,307.52,154.29,773,19,19
97,8,8,1002,48.978,26,20,198,556.11,417.58,138.53,758,23,23
98,9,9,878,65.278,19,14,160,478.47,367.87,110.6,684,17,17
99,10,10,876,111.672,23,17,218,667.84,537.16,130.68,614,22,22
100,1,1,881,116.678,19,15,127,349.21,300.68,48.53,714,20,20
101,2,2,1036,59.29,26,18,220,648.78,480.72,168.06,766,25,25
102,3,3,1024,74.743,26,18,230,682.72,483.37,199.35,750,22,22
103,4,4,937,90.438,25,15,180,476.08,318.78,157.3,715,21,21
104,5,5,849,73.802,20,14,152,395.26,255.37,139.89,665,16,16
105,6,6,922,143.558,24,17,154,395.38,334.85,60.53,728,20,20
106,7,7,915,88.054,20,14,164,471.64,325.87,145.77,715,18,18
107,8,8,818,81.391,22,16,190,568.53,436.95,131.58,586,21,21
108,9,9,1023,32.149,28,21,224,667.95,520.16,147.79,749,25,25
109,10,10,1023,98.856,29,20,226,670.02,547.67,122.35,747,25,25
110,1,1,997,75.318,27,17,192,500.05,339.0,161.05,769,18,18
111,2,2,877,103.638,20,13,141,393.67,287.17,106.5,698,19,19
112,3,3,883,93.824,21,13,147,405.66,247.55,158.11,704,16,16
113,4,4,880,124.414,25,14,159,370.74,239.15,131.59,685,18,18
114,5,5,876,120.296,21,15,140,353.84,267.86,85.98,696,20,20
