horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,4233,15,390670.0,20.002
20,50,23,23,16,16,4217,15,883410.0,20.004
40,70,26,26,14,30,4203,15,1001790.0,20.004
60,90,31,31,18,48,4185,15,1080370.0,20.004
80,110,37,37,22,70,4163,15,1151050.0,20.006
100,130,43,43,26,96,4137,15,1310900.0,20.066
120,150,73,73,23,119,4114,15,1937570.0,20.005
140,170,132,131,87,206,4026,16,4365600.0,20.826
160,190,110,106,74,280,3949,19,8344920.0,20.093
180,210,96,94,66,346,3881,21,5446480.0,20.16
200,230,80,77,49,395,3829,24,6235260.0,20.22
220,250,71,71,44,439,3785,24,1816490.0,20.005
240,270,114,114,47,486,3738,24,3174890.0,20.01
260,290,180,179,118,604,3619,25,5974770.0,20.01
280,310,173,170,101,705,3515,28,8658100.0,20.009
300,330,169,168,108,813,3406,29,6416580.0,20.012
320,350,144,139,87,900,3315,33,11523930.0,20.009
340,370,123,118,81,981,3230,37,11517230.0,20.704
360,390,89,88,66,1047,3163,38,4469510.0,20.117
380,410,78,78,45,1092,3118,38,2594120.0,20.006
400,430,81,80,53,1145,3065,38,4082250.0,20.336
420,450,68,67,46,1191,3018,39,3740600.0,20.147
440,470,59,59,36,1227,2982,39,2016190.0,20.005
460,490,69,69,40,1267,2942,39,2379230.0,20.205
480,510,89,89,51,1318,2891,39,2785000.0,20.005
500,530,130,130,77,1395,2814,39,3341460.0,20.008
520,550,135,134,88,1483,2725,40,5064990.0,20.804
540,570,131,131,80,1563,2645,40,3386560.0,20.008
560,590,124,122,77,1640,2566,42,6300030.0,20.288
580,610,139,135,84,1724,2479,45,9920520.0,20.959
600,630,162,161,87,1811,2391,46,5805860.0,20.009
620,650,204,201,135,1946,2255,47,9992560.0,20.01
640,670,222,220,123,2069,2130,49,8495250.0,20.011
660,690,283,283,157,2226,1973,49,6840470.0,20.014
680,710,349,344,202,2428,1766,54,15072990.0,20.018
700,730,365,353,213,2641,1543,64,25629090.0,20.022
720,750,313,292,201,2842,1323,83,37166650.0,20.019
740,770,221,214,136,2978,1180,90,14835660.0,20.015
760,790,201,201,127,3105,1053,90,3462230.0,20.012
780,810,176,176,115,3220,938,90,3251280.0,20.011
800,830,170,167,98,3318,837,93,7103640.0,20.009
820,850,192,187,111,3429,721,98,10980640.0,20.017
840,870,169,160,108,3537,604,107,16253570.0,20.015
860,890,138,135,88,3625,513,110,7968360.0,20.305
880,910,110,108,70,3695,441,112,6602030.0,20.177
900,930,115,108,65,3760,369,119,14749470.0,20.528
920,950,112,109,74,3834,292,122,8101050.0,20.607
940,970,104,99,59,3893,232,123,12063460.0,20.069
960,990,99,92,65,3958,163,127,15533690.0,20.272
980,1010,83,79,46,4004,114,130,9414290.0,20.092
1000,1030,70,69,50,4054,63,131,3741160.0,20.151
1020,1050,42,41,32,4086,30,132,3033070.0,20.102
1040,1070,22,21,15,4101,14,133,2389070.0,20.04
1060,1090,14,14,12,4113,2,133,617450.0,20.006
1080,1110,2,2,2,4115,0,133,98330.0,20.006
1100,1130,0,0,0,4115,0,133,,0.0
1120,1150,0,0,0,4115,0,133,,0.0
