vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,9,1076,77.314,33,33,514,1881.45,1881.45,0.0,484,39,39
1,2,9,1069,54.537,34,33,489,1747.65,1724.26,23.39,504,38,38
2,3,9,1080,113.064,34,32,472,1675.26,1657.57,17.69,532,38,38
3,4,9,1041,61.866,38,34,484,1709.34,1616.34,93.0,479,39,39
4,5,9,1081,108.798,37,35,469,1637.7,1609.46,28.24,530,41,41
5,6,9,1015,100.264,38,33,477,1664.04,1570.13,93.91,460,39,39
6,7,9,1028,69.162,33,30,475,1694.92,1651.82,43.1,483,35,35
7,8,6,1072,124.323,38,31,462,1590.16,1435.0,155.16,546,32,32
8,9,9,1031,67.739,35,32,476,1696.82,1651.2,45.62,477,39,39
9,10,7,1085,90.744,41,35,494,1719.1,1564.69,154.41,501,45,45
10,1,3,1100,74.854,37,34,500,1776.79,1625.91,150.88,512,44,44
11,2,10,1098,113.614,38,33,495,1744.39,1620.51,123.88,529,37,37
12,3,3,1072,53.388,33,29,438,1544.96,1420.72,124.24,558,38,38
13,4,7,1056,98.642,36,31,449,1570.82,1424.17,146.65,537,35,35
14,5,5,1092,32.123,43,34,483,1614.25,1472.17,142.08,521,44,44
15,6,4,1091,72.316,51,41,547,1821.69,1567.99,253.7,458,43,43
16,7,9,1090,110.379,48,39,503,1673.74,1489.02,184.72,505,41,41
17,8,10,1086,59.38,53,38,511,1666.42,1396.77,269.65,491,42,42
18,9,10,1080,64.308,44,35,482,1619.18,1434.85,184.33,518,40,40
19,10,9,987,99.237,39,31,445,1521.19,1371.03,150.16,462,40,40
20,1,3,1079,109.469,43,34,501,1713.92,1540.48,173.44,492,43,43
21,2,10,1076,24.268,44,38,505,1727.92,1606.19,121.73,485,43,43
22,3,9,1042,42.984,42,35,440,1443.43,1270.09,173.34,522,40,40
23,4,7,1047,50.228,40,34,463,1608.14,1468.01,140.13,496,44,44
24,5,3,1048,54.105,51,37,514,1663.72,1431.0,232.72,450,42,42
25,6,3,1057,55.961,41,31,483,1662.12,1383.56,278.56,502,36,36
26,7,9,985,57.231,40,29,418,1368.35,1086.75,281.6,499,34,34
27,8,9,1034,29.269,42,33,463,1553.33,1282.04,271.29,491,40,40
28,9,9,1102,113.064,40,32,442,1514.36,1296.72,217.64,578,41,41
29,10,10,1099,115.421,48,32,518,1714.51,1281.98,432.53,507,37,37
30,1,3,1042,26.276,46,34,485,1625.74,1315.58,310.16,477,40,40
31,2,9,940,35.388,47,31,424,1353.81,1075.61,278.2,438,39,39
32,3,10,1111,65.91,47,34,492,1644.39,1426.79,217.6,537,41,41
33,4,5,1038,83.791,47,36,483,1624.39,1399.06,225.33,475,40,40
34,5,7,1052,102.458,52,37,492,1594.3,1246.53,347.77,482,39,39
35,6,5,1041,81.491,47,36,461,1510.84,1271.85,238.99,502,39,39
36,7,9,996,48.254,39,30,412,1362.7,1147.67,215.03,512,36,36
37,8,5,1049,70.678,46,34,457,1510.66,1232.18,278.48,504,44,44
38,9,10,1079,132.794,36,29,389,1327.16,1132.66,194.5,618,36,36
39,10,10,1037,79.001,39,32,414,1381.36,1248.44,132.92,541,41,41
40,1,9,1019,106.494,49,34,479,1564.41,1178.87,385.54,456,42,42
41,2,10,1051,39.112,48,32,456,1464.1,1102.27,361.83,525,35,35
42,3,5,1053,83.645,49,35,468,1569.63,1186.65,382.98,511,37,37
43,4,10,1068,55.618,50,34,509,1705.84,1283.45,422.39,483,38,38
44,5,10,1074,37.172,55,36,495,1542.3,1167.17,375.13,489,45,45
45,6,3,1034,53.447,41,30,444,1493.91,1210.79,283.12,516,37,37
46,7,9,987,91.855,41,32,375,1213.31,972.52,240.79,536,38,38
47,8,9,1075,54.762,48,34,463,1520.63,1150.6,370.03,538,37,37
48,9,10,1033,36.331,48,36,444,1477.87,1161.68,316.19,499,45,45
49,10,10,1031,67.787,41,30,433,1444.79,1174.86,269.93,518,40,40
50,1,3,1043,70.194,49,35,461,1517.03,1233.51,283.52,504,39,39
51,2,3,1054,57.625,44,31,442,1464.66,1115.58,349.08,538,37,37
52,3,7,1034,55.573,46,30,446,1462.82,1061.2,401.62,512,38,38
53,4,5,1046,113.486,49,32,458,1470.35,1038.59,431.76,512,38,38
54,5,10,1045,25.333,50,32,454,1434.39,1091.24,343.15,515,38,38
