vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,9,1065,53.21,32,32,518,1901.73,1901.73,0.0,463,42,42
1,2,3,1110,57.165,31,30,496,1808.92,1803.94,4.98,540,37,37
2,3,9,1076,113.064,34,34,491,1755.52,1755.52,0.0,503,41,41
3,4,9,1080,64.927,32,31,484,1758.46,1745.7,12.76,520,38,38
4,5,10,1098,70.769,33,31,494,1768.96,1720.56,48.4,530,37,37
5,6,9,1033,91.73,32,31,435,1553.07,1541.62,11.45,522,38,38
6,7,3,1072,49.263,34,34,478,1712.02,1712.02,0.0,500,47,47
7,8,9,1081,113.064,35,33,452,1595.3,1551.18,44.12,553,38,38
8,9,9,990,61.835,28,28,421,1534.93,1534.93,0.0,505,32,32
9,10,7,1056,98.642,35,31,454,1582.33,1534.47,47.86,528,37,37
10,1,7,1035,47.416,34,33,443,1544.12,1534.51,9.61,510,41,41
11,2,9,954,100.358,27,24,318,1093.44,1043.37,50.07,574,31,31
12,3,10,1079,132.794,39,38,437,1489.27,1471.23,18.04,556,43,43
13,4,9,943,63.877,25,24,336,1191.23,1169.17,22.06,547,30,30
14,5,4,1093,86.848,30,27,342,1165.51,1132.88,32.63,687,32,32
15,6,10,1067,53.893,38,34,435,1506.59,1444.73,61.86,554,39,39
16,7,9,950,66.322,32,31,385,1354.38,1336.34,18.04,485,40,40
17,8,9,968,86.436,31,28,383,1340.59,1257.63,82.96,519,33,33
18,9,9,962,113.486,30,28,361,1251.67,1222.18,29.49,533,34,34
19,10,9,963,113.064,27,26,319,1120.03,1101.99,18.04,586,29,29
20,1,9,987,115.754,29,27,354,1225.53,1181.41,44.12,567,33,33
21,2,8,991,68.69,29,26,364,1293.68,1227.2,66.48,553,37,37
22,3,9,970,106.547,32,28,360,1234.93,1176.22,58.71,534,38,38
23,4,9,1019,95.589,29,27,323,1105.72,1074.05,31.67,628,34,34
24,5,10,1099,64.772,35,31,357,1166.41,1105.76,60.65,664,39,39
25,6,9,926,63.151,25,22,264,898.63,844.76,53.87,606,28,28
26,7,7,1087,67.456,39,32,407,1355.79,1221.07,134.72,596,42,42
27,8,9,927,93.744,30,25,307,1008.23,942.09,66.14,562,29,29
28,9,5,1092,115.837,27,23,296,999.21,938.92,60.29,746,25,25
29,10,5,1025,61.731,19,18,236,836.82,832.74,4.08,737,26,26
30,1,3,1027,109.898,30,26,322,1098.17,1021.92,76.25,639,33,33
31,2,9,927,92.934,27,24,301,987.34,946.06,41.28,572,27,27
32,3,9,962,112.13,35,27,328,1033.4,907.83,125.57,572,31,31
33,4,5,1023,29.732,23,18,242,804.45,741.05,63.4,741,20,20
34,5,7,1047,111.688,32,28,331,1110.85,1034.22,76.63,648,34,34
35,6,3,1079,109.802,39,32,382,1244.2,1143.43,100.77,621,38,38
36,7,9,939,102.278,25,23,288,991.16,945.71,45.45,589,31,31
37,8,9,943,78.079,25,22,266,892.23,835.33,56.9,621,28,28
38,9,9,964,93.433,25,20,236,776.61,675.96,100.65,680,24,24
39,10,3,1042,94.027,33,27,320,1025.52,909.97,115.55,656,33,33
40,1,9,969,106.547,33,29,336,1109.49,1016.59,92.9,561,36,36
41,2,5,1033,29.732,17,14,159,490.02,461.45,28.57,844,15,15
42,3,9,964,42.096,26,18,231,734.45,604.61,129.84,689,22,22
43,4,5,1044,88.656,20,16,216,728.44,660.05,68.39,788,20,20
44,5,9,979,106.547,27,23,293,1005.75,941.23,64.52,618,34,34
45,6,9,940,102.278,35,29,311,1013.77,894.69,119.08,559,35,35
46,7,5,1050,76.669,18,15,195,665.13,628.05,37.08,819,18,18
47,8,9,1090,91.256,29,26,310,1020.0,986.16,33.84,718,31,31
48,9,3,1040,39.667,33,27,302,984.79,907.08,77.71,672,33,33
49,10,9,938,93.744,25,21,246,787.93,671.35,116.58,648,22,22
50,1,9,944,93.744,17,14,176,592.4,508.81,83.59,738,15,15
51,2,3,1043,51.135,24,17,225,715.21,592.08,123.13,778,20,20
52,3,9,981,121.598,24,19,215,689.21,601.61,87.6,716,25,25
53,4,8,1031,43.963,34,26,315,1008.09,899.69,108.4,656,30,30
54,5,5,1052,139.298,43,32,366,1117.84,938.55,179.29,608,39,39
55,6,7,1052,125.054,34,28,293,918.42,823.54,94.88,689,35,35
56,7,5,1011,149.498,26,21,237,774.6,666.07,108.53,720,27,27
57,8,9,983,113.064,26,24,237,745.68,708.74,36.94,686,30,30
58,9,7,978,125.054,19,16,185,597.08,520.81,76.27,753,20,20
59,10,7,979,125.054,27,22,237,772.93,678.57,94.36,690,26,26
60,1,9,1102,113.064,28,21,258,818.81,732.63,86.18,788,28,28
61,2,7,984,133.588,27,22,211,634.18,573.55,60.63,707,33,33
62,3,7,978,125.054,19,17,198,643.74,565.43,78.31,738,21,21
63,4,9,977,93.243,21,17,177,531.39,484.28,47.11,754,23,23
64,5,9,982,113.064,16,14,149,463.64,447.21,16.43,801,16,16
65,6,7,990,133.588,31,24,232,651.58,585.23,66.35,700,29,29
66,7,7,988,125.054,18,16,187,637.31,566.48,70.83,765,18,18
67,8,9,1004,113.064,17,14,151,477.08,417.0,60.08,817,18,18
68,9,6,988,130.288,23,18,179,530.9,444.49,86.41,761,24,24
69,10,5,1050,107.566,26,20,242,781.31,711.27,70.04,758,25,25
70,1,9,1042,56.9,17,14,178,620.29,550.12,70.17,830,17,17
71,2,10,1076,50.891,19,14,163,476.51,432.73,43.78,875,19,19
72,3,5,1030,70.872,21,15,175,524.98,432.55,92.43,817,19,19
73,4,10,1099,71.311,23,16,216,696.65,588.7,107.95,845,19,19
74,5,10,1098,104.149,31,26,268,835.49,755.68,79.81,760,35,35
75,6,10,1054,115.387,28,19,228,644.28,528.79,115.49,766,30,30
76,7,6,879,131.534,21,17,157,433.91,384.5,49.41,678,22,22
77,8,6,831,133.588,20,18,153,457.36,419.09,38.27,634,22,22
78,9,9,1043,87.272,27,23,237,753.96,690.24,63.72,756,25,25
79,10,9,1015,121.598,12,11,168,605.43,571.91,33.52,817,15,15
80,1,6,776,146.474,14,12,117,348.31,309.81,38.5,631,14,14
81,2,6,853,125.054,17,14,143,442.88,403.41,39.47,670,20,20
82,3,6,860,125.054,17,13,152,474.34,400.45,73.89,678,15,15
83,4,6,770,117.694,17,14,145,474.75,391.6,83.15,583,21,21
84,5,6,829,131.534,16,15,119,367.39,345.33,22.06,674,18,18
85,6,6,864,133.588,21,19,188,616.3,579.36,36.94,628,24,24
86,7,6,839,131.242,19,13,133,339.56,248.33,91.23,680,13,13
87,8,6,838,140.068,15,13,135,416.57,384.31,32.26,667,18,18
88,9,6,840,131.534,17,16,164,543.08,525.04,18.04,638,19,19
89,10,6,746,99.254,16,15,144,478.12,460.08,18.04,568,17,17
90,1,6,758,144.543,12,10,94,287.08,264.96,22.12,642,11,11
91,2,6,850,140.068,16,14,111,316.26,290.12,26.14,701,19,19
92,3,6,870,119.448,18,14,143,401.49,342.06,59.43,695,16,16
93,4,6,995,108.124,21,16,164,465.28,389.19,76.09,791,20,20
94,5,6,781,138.798,10,9,72,209.96,195.08,14.88,679,15,15
95,6,6,819,143.558,18,15,149,444.61,411.04,33.57,632,19,19
96,7,9,1057,95.806,28,23,226,681.32,613.12,68.2,775,28,28
97,8,6,785,138.798,15,11,121,337.1,295.77,41.33,638,13,13
98,9,6,858,140.068,19,16,145,418.94,379.9,39.04,671,21,21
99,10,8,997,126.981,16,14,155,489.44,448.01,41.43,812,15,15
100,1,6,759,93.508,12,10,103,314.35,284.86,29.49,636,10,10
101,2,9,998,87.272,17,13,159,487.6,435.13,52.47,813,13,13
102,3,9,1031,110.814,16,16,163,528.16,528.16,0.0,828,20,20
