vehicle_id,home_depot,final_node,final_available_time,Total_Passenger,Total_Movement,Passenger_Movement,Empty_Movement,total_flight_time_min,total_ground_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,Total_Cost
0,1,1,797,33,15,13,2,100,697,247.78,219.41,28.37,663,1314760
1,2,2,799,33,14,13,1,97,702,282.36,278.28,4.08,660,1265195
2,3,3,806,34,15,13,2,99,707,262.66,236.52,26.14,669,1304373
3,4,4,818,23,16,12,4,130,688,354.68,312.66,42.02,656,1644774
4,5,5,812,43,19,17,2,131,681,359.35,324.51,34.84,633,1710373
5,6,6,813,38,19,17,2,143,670,408.15,358.39,49.76,620,1835017
6,7,7,808,30,14,13,1,119,689,393.12,349.64,43.48,649,1493709
7,8,8,820,26,13,11,2,104,716,330.4,255.04,75.36,684,1319500
8,9,9,782,18,11,8,3,98,684,300.05,195.56,104.49,658,1220370
9,10,10,813,24,11,10,1,110,703,334.54,264.65,69.89,671,1345014
10,1,1,805,20,8,7,1,62,743,188.94,174.06,14.88,719,791226
11,2,2,802,27,11,10,1,79,723,224.58,220.5,4.08,693,1023017
12,3,3,793,22,15,11,4,112,681,326.39,240.25,86.14,655,1439404
13,4,4,806,20,12,10,2,99,707,283.73,258.37,25.36,679,1249161
14,5,5,813,35,17,15,2,133,680,376.66,341.28,35.38,632,1694339
15,6,6,802,21,13,10,3,94,708,237.63,187.69,49.94,680,1215630
16,7,7,822,29,13,12,1,105,717,301.48,280.05,21.43,679,1329887
17,8,8,811,23,15,13,2,111,700,321.88,259.14,62.74,662,1429017
18,9,9,805,14,8,7,1,92,713,325.49,297.92,27.57,691,1102836
19,10,10,788,19,12,9,3,98,690,296.27,212.46,83.81,666,1238774
20,1,1,815,21,10,8,2,68,747,180.71,162.97,17.74,721,890356
21,2,2,800,19,12,10,2,107,693,331.82,295.67,36.15,667,1332257
22,3,3,814,18,12,9,3,95,719,253.79,184.01,69.78,691,1207613
23,4,4,808,11,8,6,2,73,735,223.86,188.48,35.38,719,905483
24,5,5,817,28,13,11,2,85,732,213.36,193.15,20.21,696,1122147
25,6,6,817,19,13,11,2,81,736,201.41,184.57,16.84,710,1080599
26,7,7,814,19,13,9,4,102,712,272.35,221.4,50.95,686,1298726
27,8,8,822,19,12,11,1,99,723,278.34,243.17,35.17,695,1249161
28,9,9,793,19,10,8,2,85,708,267.55,189.38,78.17,686,1066935
29,10,10,842,18,13,9,4,134,708,455.97,359.48,96.49,684,1631110
30,1,1,790,14,6,5,1,39,751,96.93,87.32,9.61,731,515517
31,2,2,824,19,13,10,3,113,711,329.95,283.89,46.06,685,1412983
32,3,3,807,20,12,9,3,107,700,299.91,252.7,47.21,674,1332257
33,4,4,794,15,9,9,0,75,719,229.03,229.03,0.0,691,944661
34,5,5,825,29,15,13,2,127,698,376.13,294.82,81.31,656,1595209
35,6,6,816,15,12,10,2,104,712,317.49,245.63,71.86,688,1301096
36,7,7,784,14,9,7,2,80,704,257.6,220.38,37.22,682,996596
37,8,8,827,20,15,13,2,122,705,344.85,287.45,57.4,673,1543274
38,9,9,832,13,6,5,1,58,774,193.47,131.43,62.04,756,712870
39,10,10,814,17,11,9,2,101,713,319.34,230.9,88.44,687,1251531
40,1,1,802,15,12,8,4,101,701,307.72,260.39,47.33,675,1269935
41,2,2,829,19,12,10,2,100,729,303.97,247.66,56.31,699,1259548
42,3,3,794,19,8,8,0,52,742,114.92,114.92,0.0,714,687356
43,4,4,814,19,8,7,1,68,746,200.66,184.53,16.13,722,853548
44,5,5,815,19,12,11,1,110,705,343.75,319.82,23.93,681,1363418
