vehicle_id,home_depot,final_node,final_available_time,Total_Passenger,Total_Movement,Passenger_Movement,Empty_Movement,total_flight_time_min,total_ground_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,Total_Cost
0,1,1,814,59,35,32,3,351,463,1172.38,1114.01,58.37,389,4289977
1,2,2,830,61,34,31,3,304,526,967.65,887.56,80.09,454,3783384
2,3,3,823,60,36,30,6,274,549,804.96,692.97,111.99,469,3508582
3,4,4,815,56,31,29,2,273,542,864.95,818.17,46.78,464,3406175
4,5,5,822,56,34,30,4,296,526,907.06,793.26,113.8,454,3700288
5,6,6,819,57,41,30,11,348,471,1031.91,880.09,151.82,389,4369240
6,7,7,815,55,37,30,7,271,544,781.42,691.95,89.47,462,3495825
7,8,8,808,59,37,32,5,274,534,773.22,662.84,110.38,448,3526986
8,9,9,827,47,36,31,5,318,509,966.01,869.45,96.56,433,3965610
9,10,10,828,53,34,30,4,279,549,875.0,806.36,68.64,477,3523709
10,1,1,825,49,40,29,11,323,502,958.51,783.2,175.31,424,4091161
11,2,2,814,50,36,31,5,296,518,902.77,799.75,103.02,442,3737096
12,3,3,824,42,29,23,6,266,558,833.38,678.23,155.15,498,3296658
13,4,4,817,51,31,26,5,273,544,823.56,765.26,58.3,472,3406175
14,5,5,814,47,40,31,9,345,469,1097.27,964.25,133.02,395,4319675
15,6,6,809,57,41,36,5,322,487,945.7,888.98,56.72,401,4099178
16,7,7,814,45,36,29,7,259,555,694.48,602.81,91.67,485,3352777
17,8,8,826,53,38,32,6,285,541,819.24,735.77,83.47,457,3659647
18,9,9,830,45,31,25,6,288,542,948.97,793.3,155.67,478,3561980
19,10,10,823,46,33,28,5,319,504,1043.2,935.13,108.07,430,3920785
20,1,1,821,42,35,29,6,291,530,851.67,772.75,78.92,462,3666757
21,2,2,822,46,37,30,7,305,517,913.55,804.18,109.37,441,3848983
22,3,3,818,38,30,22,8,255,563,738.78,629.09,109.69,503,3200805
23,4,4,826,51,38,30,8,326,500,986.36,804.73,181.63,416,4085514
24,5,5,818,37,38,27,11,313,505,905.02,695.76,209.26,443,3950483
25,6,6,819,50,35,32,3,302,517,894.93,864.21,30.72,439,3781014
26,7,7,819,48,36,30,6,291,528,854.23,754.09,100.14,446,3685161
27,8,8,821,46,37,29,8,343,478,1104.64,925.81,178.83,406,4243689
28,9,9,818,39,31,24,7,292,526,936.12,780.12,156.0,462,3603528
29,10,10,811,43,31,27,4,248,563,698.38,618.19,80.19,491,3146500
30,1,1,817,43,37,31,6,326,491,989.12,901.44,87.68,415,4067110
31,2,2,808,42,35,25,10,328,480,1012.2,884.29,127.91,414,4051076
32,3,3,819,35,34,28,6,295,524,881.82,820.54,61.28,466,3689901
33,4,4,807,39,30,24,6,226,581,637.03,563.69,73.34,515,2899582
34,5,5,817,42,33,30,3,328,489,1054.99,986.2,68.79,421,4014268
35,6,6,813,31,31,24,7,248,565,753.69,617.87,135.82,511,3146500
36,7,7,819,36,30,26,4,249,570,736.78,674.29,62.49,506,3138483
37,8,8,810,39,34,25,9,278,532,788.56,647.08,141.48,466,3513322
38,9,9,826,32,27,22,5,253,573,789.59,672.95,116.64,519,3124819
39,10,10,828,46,32,24,8,287,541,880.5,716.97,163.53,471,3569997
40,1,1,831,40,32,28,4,287,544,891.89,750.24,141.65,476,3569997
41,2,2,816,34,31,26,5,258,558,758.3,688.48,69.82,496,3250370
42,3,3,818,29,24,19,5,203,615,578.86,523.13,55.73,563,2550257
43,4,4,818,31,24,20,4,206,612,590.8,522.35,68.45,564,2581418
44,5,5,817,32,33,24,9,292,525,916.95,781.83,135.12,467,3640336
45,6,6,811,33,32,25,7,279,532,848.18,721.96,126.22,474,3486901
46,7,7,812,31,30,22,8,281,531,874.67,745.84,128.83,475,3470867
47,8,8,810,34,35,27,8,312,498,923.52,809.46,114.06,436,3884884
48,9,9,825,36,32,24,8,269,556,799.3,665.54,133.76,494,3383031
49,10,10,816,36,35,27,8,324,492,1016.37,874.84,141.53,426,4009528
50,1,1,824,33,33,26,7,307,517,928.6,856.94,71.66,459,3796141
51,2,2,819,31,32,23,9,275,544,804.47,662.84,141.63,488,3445353
52,3,3,818,31,35,25,10,301,517,862.46,719.96,142.5,463,3770627
53,4,4,803,26,27,20,7,247,556,771.65,657.02,114.63,506,3062497
54,5,5,826,36,34,25,9,308,518,959.98,795.64,164.34,458,3824932
55,6,6,822,30,31,23,8,279,543,866.19,738.25,127.94,491,3468497
56,7,7,829,26,26,20,6,211,618,618.34,490.23,128.11,568,2670161
57,8,8,814,33,33,22,11,259,555,722.78,551.66,171.12,495,3297565
58,9,9,811,30,27,20,7,209,602,566.89,439.29,127.6,550,2667791
59,10,10,820,29,30,23,7,278,542,806.02,674.34,131.68,490,3439706
60,1,1,815,29,30,21,9,285,530,933.99,761.85,172.14,480,3512415
61,2,2,811,32,31,24,7,265,546,803.28,675.99,127.29,490,3323079
62,3,3,827,32,33,24,9,283,544,836.0,682.43,153.57,486,3546853
63,4,4,821,28,25,19,6,225,596,716.98,628.96,88.02,546,2797175
64,5,5,812,32,32,25,7,304,508,936.06,814.33,121.73,450,3746576
65,6,6,824,27,31,24,7,269,555,812.38,695.15,117.23,503,3364627
66,7,7,812,28,29,21,8,265,547,841.64,707.87,133.77,499,3286271
67,8,8,825,26,28,20,8,242,583,734.85,645.54,89.31,537,3028966
68,9,9,838,25,21,16,5,214,624,721.23,572.19,149.04,580,2609302
69,10,10,827,32,29,20,9,249,578,712.77,524.0,188.77,518,3120079
70,1,1,823,27,30,23,7,269,554,862.05,742.85,119.2,502,3346223
71,2,2,806,21,20,16,4,231,575,779.03,651.29,127.74,539,2767477
72,3,3,811,27,32,20,12,248,563,672.85,495.03,177.82,515,3164904
73,4,4,820,32,30,23,7,269,551,795.22,682.28,112.94,497,3346223
74,5,5,816,29,22,18,4,225,591,751.3,652.18,99.12,541,2741963
75,6,6,818,26,28,20,8,256,562,813.71,653.9,159.81,514,3174384
76,7,7,824,23,25,17,8,245,579,771.27,603.2,168.07,539,3004915
77,8,8,814,30,25,19,6,225,589,669.99,571.49,98.5,535,2797175
78,9,9,812,27,32,22,10,266,546,783.94,626.73,157.21,496,3351870
79,10,10,826,30,30,22,8,274,552,846.33,677.89,168.44,496,3398158
