horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,4,0,0,3320,0,1265942,20.002
20,50,23,10,7,7,3313,0,2836009,20.004
40,70,35,13,7,14,3297,9,4644614,20.087
60,90,38,17,12,26,3279,15,4953136,20.014
80,110,44,16,10,36,3262,22,5534889,20.065
100,130,55,25,14,50,3239,31,6719848,20.051
120,150,88,52,17,67,3208,45,10320664,20.102
140,170,139,89,56,123,3141,56,15404998,20.069
160,190,137,51,36,159,3069,92,17363605,20.052
180,210,127,50,32,191,3002,127,16537791,20.195
200,230,112,44,27,218,2940,162,14507886,20.185
220,250,93,36,23,241,2891,188,11630740,20.032
240,270,130,57,26,267,2847,206,16423594,20.24
260,290,199,148,88,355,2737,228,26630116,20.017
280,310,201,104,64,419,2647,254,24120210,20.011
300,330,210,140,84,503,2522,295,28167682,20.014
320,350,169,94,56,559,2437,324,20255269,20.659
340,370,154,76,50,609,2356,355,18569163,20.034
360,390,124,58,49,658,2273,389,15960196,20.03
380,410,97,39,20,678,2233,409,12661601,20.104
400,430,105,51,34,712,2177,431,13116472,20.191
420,450,89,42,29,741,2127,452,11325308,20.068
440,470,77,33,24,765,2087,468,10067634,20.056
460,490,83,34,21,786,2052,482,10853259,20.03
480,510,108,51,26,812,2005,503,13592366,20.254
500,530,153,77,46,858,1937,525,18202457,20.534
520,550,167,83,53,911,1854,555,20732463,20.009
540,570,169,66,42,953,1773,594,21553632,20.008
560,590,161,63,42,995,1686,639,20557283,20.175
580,610,168,75,46,1041,1608,671,21142207,20.008
600,630,199,94,48,1089,1522,709,24332969,20.01
620,650,243,154,97,1186,1382,752,32890099,20.011
640,670,257,148,70,1256,1272,792,32694446,20.014
660,690,330,162,76,1332,1141,847,41891014,20.028
680,710,422,169,94,1426,958,936,54956043,20.02
700,730,458,177,94,1520,745,1055,60859499,20.026
720,750,413,160,98,1618,520,1182,56392072,20.03
740,770,316,151,81,1699,333,1288,41155083,20.021
760,790,252,163,94,1793,188,1339,31893559,20.021
780,810,188,91,69,1862,72,1386,23342374,20.013
800,816,72,11,11,1873,30,1417,11286943,20.061
