revenue,num_vehicles,total_penalty,total_objectives,complete_batch_count,overdue_batch_count,total_batch_count,runtime_seconds
110000,50,361478522,548539189,1788,1547,3335,825.989
110000,55,332284057,533875463,1912,1423,3335,825.27
110000,60,302739709,518486459,2032,1303,3335,826.041
110000,65,282916472,506004402,2116,1219,3335,825.856
110000,70,258296908,494106981,2228,1107,3335,826.201
110000,75,232607742,478402384,2335,1000,3335,825.747
110000,80,214234066,467417639,2412,923,3335,824.638
110000,85,198356698,462032135,2477,858,3335,825.583
110000,90,176648363,448238986,2570,765,3335,824.275
110000,95,167747852,444365929,2608,727,3335,825.778
110000,100,151285798,434184323,2676,659,3335,825.487
110000,105,139039835,426287031,2729,606,3335,824.926
110000,110,119195626,420945326,2815,520,3335,826.406
110000,115,117638127,420011954,2822,513,3335,825.621
110000,120,109100011,412176877,2860,475,3335,828.48
110000,125,100987369,408262543,2894,441,3335,826.46
110000,130,94534756,404290960,2920,415,3335,827.293
110000,135,86821295,401834725,2953,382,3335,827.398
110000,140,81076872,393772392,2980,355,3335,826.917
110000,145,79688642,395610481,2985,350,3335,828.202
110000,150,70591536,388232877,3025,310,3335,828.544
