vehicle_id,home_depot,final_node,final_available_time,Total_Passenger,Total_Movement,Passenger_Movement,Empty_Movement,total_flight_time_min,total_ground_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,Total_Cost
0,1,6,819,29,15,13,2,99,720,249.26,216.26,33.0,692,1304373
1,2,3,798,35,16,16,0,128,670,390.25,390.25,0.0,630,1624000
2,3,5,814,24,13,11,2,90,724,250.19,223.15,27.04,698,1174082
3,4,9,794,31,12,12,0,122,672,408.01,408.01,0.0,642,1488062
4,5,5,798,27,13,11,2,93,705,242.23,209.23,33.0,675,1205243
5,6,4,817,36,16,15,1,123,694,381.56,368.8,12.76,650,1572065
6,7,3,799,34,16,15,1,110,689,309.15,293.02,16.13,641,1437034
7,8,3,811,37,17,16,1,115,696,310.87,294.74,16.13,652,1507373
8,9,4,819,26,16,14,2,131,688,382.04,340.86,41.18,652,1655161
9,10,3,800,27,12,11,1,95,705,272.41,249.02,23.39,673,1207613
10,1,9,804,15,8,7,1,68,736,205.16,189.03,16.13,716,853548
11,2,3,811,16,12,10,2,84,727,210.39,181.5,28.89,703,1093356
12,3,3,819,21,10,10,0,86,733,252.67,252.67,0.0,707,1077322
13,4,2,819,26,15,14,1,121,698,359.59,335.66,23.93,662,1532887
14,5,4,815,25,16,13,3,131,684,368.48,310.27,58.21,652,1655161
15,6,2,797,15,10,9,1,67,730,159.13,146.53,12.6,708,879969
16,7,3,801,21,11,10,1,81,720,247.62,220.05,27.57,688,1043791
17,8,3,790,13,12,9,3,90,700,238.76,178.19,60.57,678,1155678
18,9,5,795,20,11,10,1,91,704,249.85,234.97,14.88,676,1147661
19,10,3,815,21,11,9,2,83,732,222.8,200.43,22.37,704,1064565
20,1,3,793,15,10,9,1,66,727,160.63,144.5,16.13,705,869582
21,2,3,799,14,10,8,2,72,727,190.68,168.31,22.37,701,931904
22,3,5,802,17,9,8,1,75,727,214.13,181.89,32.24,701,944661
23,4,3,812,10,6,6,0,53,759,157.34,157.34,0.0,743,660935
24,5,6,796,19,9,8,1,95,701,304.32,270.8,33.52,679,1152401
25,6,3,794,16,9,8,1,70,724,197.42,193.34,4.08,702,892726
26,7,3,794,18,13,12,1,81,713,190.52,186.44,4.08,685,1080599
27,8,5,809,19,12,11,1,101,708,286.67,262.74,23.93,678,1269935
28,9,7,814,14,11,8,3,75,739,190.53,160.71,29.82,717,981469
29,10,1,818,14,9,8,1,93,725,307.56,283.63,23.93,709,1131627
30,1,7,814,11,11,8,3,85,729,201.74,172.91,28.83,713,1085339
31,2,3,805,17,13,11,2,93,712,250.47,225.36,25.11,684,1205243
32,3,3,809,17,10,10,0,78,731,222.03,222.03,0.0,705,994226
33,4,4,808,19,13,10,3,86,722,230.59,190.41,40.18,694,1132534
34,5,2,803,22,16,12,4,99,704,221.16,181.73,39.43,672,1322777
35,6,7,804,15,10,8,2,68,736,160.82,127.82,33.0,716,890356
36,7,1,808,15,8,8,0,56,752,129.04,129.04,0.0,728,728904
37,8,7,800,26,14,13,1,108,692,325.05,301.66,23.39,660,1379452
38,9,8,811,19,8,8,0,66,745,195.33,195.33,0.0,723,832774
39,10,3,791,16,9,9,0,70,721,202.99,202.99,0.0,695,892726
40,1,5,787,6,6,5,1,60,727,168.39,153.51,14.88,717,733644
41,2,8,819,18,12,10,2,107,712,337.08,299.48,37.6,684,1332257
42,3,6,819,16,6,6,0,56,763,177.86,177.86,0.0,739,692096
43,4,4,799,11,10,8,2,63,736,155.91,140.38,15.53,718,838421
44,5,5,788,21,13,12,1,82,706,210.87,206.79,4.08,674,1090986
45,6,6,810,17,14,10,4,105,705,287.98,227.9,60.08,677,1348291
46,7,3,814,13,10,8,2,65,749,134.62,119.09,15.53,727,859195
47,8,5,805,21,16,13,3,118,687,312.92,256.02,56.9,651,1520130
48,9,3,794,14,6,6,0,48,746,143.19,143.19,0.0,728,609000
