horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,8,0,0,3335,0,1440513,20.002
20,50,23,15,12,12,3323,0,3261621,20.042
40,70,30,14,8,20,3311,4,4604194,20.004
60,90,37,24,14,34,3292,9,5540846,20.109
80,110,42,19,13,47,3274,14,6384439,20.003
100,130,52,29,15,62,3251,22,7665234,20.05
120,150,85,61,17,79,3223,33,11174573,20.015
140,170,139,94,59,138,3158,39,18382696,20.431
160,190,140,66,44,182,3082,71,21806565,20.303
180,210,127,60,41,223,3011,101,20070710,20.27
200,230,108,56,35,258,2946,131,16046070,20.035
220,250,86,50,33,291,2900,144,12508155,20.164
240,270,127,73,36,327,2855,153,18447677,20.089
260,290,195,98,59,386,2775,174,28216208,20.015
280,310,227,99,62,448,2659,228,34603959,20.016
300,330,211,93,53,501,2563,271,32184843,20.021
320,350,199,89,51,552,2456,327,30878062,20.012
340,370,162,81,54,606,2363,366,23822053,20.623
360,390,120,62,49,655,2285,395,18017791,20.099
380,410,98,50,26,681,2240,414,14967124,20.174
400,430,101,57,36,717,2186,432,14520809,20.036
420,450,87,47,32,749,2136,450,13143483,20.072
440,470,75,38,24,773,2098,464,11603211,20.117
460,490,83,48,28,801,2056,478,12605329,20.176
480,510,101,64,33,834,2010,491,14355283,20.201
500,530,147,92,56,890,1941,504,20118072,20.018
520,550,160,81,50,940,1867,528,23707147,20.657
540,570,171,98,53,993,1775,567,26739056,20.01
560,590,152,75,45,1038,1698,599,22814270,20.268
580,610,169,84,54,1092,1613,630,25382061,20.01
600,630,194,100,49,1141,1532,662,27752925,20.021
620,650,243,118,68,1209,1420,706,36871417,20.014
640,670,285,118,53,1262,1303,770,44873740,20.031
660,690,354,121,55,1317,1174,844,57384118,20.03
680,710,448,124,75,1392,981,962,76087267,20.03
700,730,478,121,63,1455,778,1102,84591215,20.062
720,750,446,120,74,1529,546,1260,79871758,20.052
740,770,342,122,57,1586,354,1395,58401561,20.042
760,790,273,123,75,1661,203,1471,43352029,20.034
780,810,203,91,65,1726,76,1533,33120566,20.02
800,816,76,26,26,1752,19,1564,13533453,20.005
