origin\destination,서울역,수서,삼성,여의도,김포공항,일산,판교,동탄/용인,평택,인천공항
서울역,0,4162,3984,1366,4331,3952,4179,6362,7940,5287
수서,3836,0,1629,5202,7700,7543,1826,4394,6360,7212
삼성,3362,1228,0,4622,7352,7407,3121,5211,7330,8726
여의도,1348,5095,4907,0,2698,3395,4071,6262,7055,4443
김포공항,4037,6507,6145,2876,0,1803,6032,7156,7093,2171
일산,3543,6122,5869,2197,1659,0,5934,7969,7960,3078
판교,4310,2505,3769,5323,7532,7669,0,3497,4994,6530
동탄/용인,5204,3087,4233,6394,7563,8053,2461,0,3057,7772
평택,7735,6163,6999,8427,9307,9309,5184,3870,0,8775
인천공항,4412,5921,6387,3223,2168,2869,5013,6574,6032,0
