n,m,cnt,depT_hr,depT_m,arrT_hr,arrT_m,maxWait_min
10,3,2,6,1,6,18,6.2
10,4,1,6,3,6,17,4.3
6,2,1,6,5,6,18,4.2
6,7,1,6,5,6,20,4.2
10,3,1,6,5,6,22,6.2
10,4,1,6,6,6,20,4.3
10,3,1,6,13,6,30,6.2
4,9,1,6,18,6,36,4.1
10,3,1,6,18,6,35,6.2
4,9,1,6,19,6,36,4.1
10,3,1,6,23,6,40,6.2
1,10,1,6,27,6,42,4.5
4,9,1,6,27,6,44,4.1
9,4,1,6,29,6,46,4.6
2,10,1,6,30,6,48,4.9
4,9,1,6,31,6,48,4.1
6,7,1,6,34,6,48,4.2
3,10,1,6,36,6,53,5.1
7,6,1,6,38,6,52,4.0
10,3,1,6,41,6,58,6.2
4,9,1,6,44,7,2,4.1
10,1,1,6,44,6,60,5.0
1,10,1,6,46,7,2,4.5
4,9,1,6,46,7,4,4.1
10,4,1,6,46,7,0,4.3
4,9,1,6,57,7,14,4.1
1,8,1,6,58,7,12,6.0
6,3,1,7,2,7,14,4.2
9,6,1,7,2,7,24,4.5
6,7,1,7,4,7,18,5.1
10,9,1,7,5,7,26,5.8
6,1,1,7,6,7,15,4.2
6,1,1,7,7,7,16,4.2
6,1,1,7,8,7,17,4.2
10,9,1,7,8,7,29,5.8
6,1,1,7,9,7,18,4.2
5,2,1,7,10,7,20,4.2
5,2,1,7,12,7,22,4.2
5,7,1,7,13,7,25,4.3
10,3,1,7,13,7,30,5.6
3,9,1,7,20,7,37,3.9
6,1,1,7,21,7,30,4.2
6,3,1,7,23,7,35,4.2
3,9,1,7,29,7,46,3.9
6,7,1,7,29,7,44,5.1
10,9,2,7,29,7,50,5.8
6,2,1,7,30,7,43,4.9
3,8,1,7,32,7,44,3.5
3,8,1,7,33,7,45,3.5
6,1,1,7,34,7,43,4.2
6,1,1,7,35,7,44,4.2
6,3,1,7,35,7,47,4.2
10,9,1,7,35,7,56,5.8
6,7,1,7,36,7,50,5.1
9,6,1,7,37,7,59,4.5
6,1,2,7,40,7,49,4.2
10,9,1,7,40,8,1,5.8
2,4,1,7,41,7,49,3.3
6,9,1,7,41,8,3,6.6
6,9,1,7,43,8,5,6.6
3,6,1,7,44,7,56,3.8
7,5,1,7,44,7,56,6.2
4,7,1,7,45,7,54,3.0
8,2,1,7,45,7,57,5.0
9,6,1,7,45,8,7,4.5
6,7,1,7,46,8,0,5.1
9,6,1,7,46,8,8,4.5
6,1,1,7,49,7,58,4.2
9,6,1,7,49,8,11,4.5
10,9,1,7,49,8,10,5.8
3,6,1,7,50,8,2,3.8
6,3,1,7,50,8,2,4.2
10,9,1,7,52,8,13,5.8
3,8,1,7,54,8,6,3.5
6,1,1,7,56,8,5,4.2
6,7,1,7,56,8,10,5.1
2,4,1,7,57,8,5,3.3
6,7,1,7,58,8,12,5.1
8,2,1,7,58,8,10,5.0
5,7,1,7,59,8,11,4.3
6,3,1,7,59,8,11,4.2
2,1,2,8,0,8,9,5.0
6,1,2,8,1,8,10,4.7
7,4,1,8,1,8,10,4.3
8,4,1,8,1,8,14,5.2
10,9,1,8,1,8,22,7.1
3,4,1,8,2,8,11,4.7
6,1,1,8,2,8,11,4.7
8,2,1,8,2,8,14,5.4
8,5,1,8,2,8,18,5.3
9,7,1,8,2,8,16,5.0
2,4,1,8,3,8,11,4.6
6,1,2,8,3,8,12,4.7
3,4,1,8,4,8,13,4.7
8,3,1,8,4,8,16,5.3
8,5,1,8,4,8,20,5.3
9,7,1,8,4,8,18,5.0
5,3,1,8,5,8,15,5.6
6,3,1,8,6,8,18,4.9
8,4,1,8,6,8,20,5.2
2,1,1,8,7,8,16,5.0
3,4,1,8,7,8,16,4.7
6,1,1,8,7,8,16,4.7
8,4,1,8,7,8,20,5.2
2,1,1,8,8,8,17,5.0
6,1,1,8,8,8,17,4.7
6,7,1,8,8,8,22,6.0
8,1,2,8,8,8,22,5.5
2,1,1,8,9,8,18,5.0
2,4,1,8,9,8,17,4.6
3,4,2,8,9,8,18,4.7
6,7,1,8,9,8,24,6.0
3,4,1,8,10,8,19,4.7
4,10,1,8,10,8,24,4.0
8,4,2,8,10,8,24,5.2
2,1,1,8,11,8,20,5.0
3,4,1,8,12,8,21,4.7
5,3,1,8,12,8,22,5.6
2,4,1,8,13,8,21,4.6
5,3,1,8,13,8,23,5.6
6,4,1,8,13,8,22,4.2
7,1,2,8,13,8,22,4.7
8,2,1,8,13,8,25,5.4
8,4,2,8,13,8,26,5.2
9,7,1,8,13,8,27,5.0
3,4,1,8,14,8,23,4.7
5,3,1,8,14,8,24,5.6
6,1,1,8,14,8,23,4.7
7,1,1,8,14,8,23,4.7
8,4,1,8,14,8,28,5.2
5,3,1,8,15,8,25,5.6
9,1,1,8,15,8,33,7.7
10,9,1,8,15,8,36,7.1
3,8,1,8,16,8,28,3.9
5,3,1,8,16,8,26,5.6
7,4,2,8,16,8,25,4.3
5,3,1,8,17,8,27,5.6
6,7,1,8,17,8,32,6.0
8,1,2,8,17,8,31,5.5
3,9,2,8,18,8,35,4.5
5,3,1,8,18,8,28,5.6
6,1,1,8,18,8,27,4.7
3,4,1,8,19,8,28,4.7
3,9,1,8,19,8,36,4.5
6,3,1,8,19,8,31,4.9
6,1,1,8,20,8,29,4.7
8,1,1,8,20,8,34,5.5
2,4,1,8,21,8,29,4.6
3,4,1,8,21,8,30,4.7
5,3,1,8,21,8,31,5.6
6,1,1,8,21,8,30,4.7
7,1,1,8,21,8,30,4.7
6,7,1,8,22,8,36,6.0
9,7,1,8,22,8,36,5.0
2,4,1,8,23,8,31,4.6
5,3,1,8,23,8,33,5.6
6,1,1,8,23,8,32,4.7
9,6,1,8,23,8,45,6.5
3,1,1,8,24,8,32,4.7
3,4,1,8,24,8,33,4.7
8,5,1,8,24,8,40,5.3
3,5,1,8,25,8,35,7.0
6,7,1,8,25,8,40,6.0
7,4,1,8,25,8,34,4.3
5,3,1,8,26,8,36,5.6
6,1,1,8,26,8,35,4.7
5,3,2,8,27,8,37,5.6
6,1,1,8,27,8,36,4.7
2,4,1,8,28,8,36,4.6
3,4,1,8,28,8,37,4.7
3,9,1,8,28,8,45,4.5
6,3,1,8,28,8,40,4.9
5,3,1,8,29,8,39,5.6
3,4,1,8,30,8,39,4.7
4,9,1,8,30,8,48,5.4
5,3,1,8,30,8,40,5.6
6,1,1,8,30,8,39,4.7
6,1,1,8,31,8,40,4.7
3,1,1,8,32,8,40,4.7
3,4,1,8,32,8,41,4.7
7,4,1,8,32,8,41,4.3
7,1,1,8,33,8,42,4.7
8,2,1,8,33,8,45,5.4
8,4,1,8,33,8,46,5.2
2,1,1,8,34,8,43,5.0
5,3,1,8,34,8,44,5.6
6,1,1,8,34,8,43,4.7
6,7,1,8,34,8,48,6.0
2,4,1,8,35,8,43,4.6
5,3,1,8,35,8,45,5.6
1,10,1,8,36,8,52,4.9
3,4,1,8,36,8,45,4.7
6,3,2,8,36,8,48,4.9
6,7,1,8,36,8,50,6.0
3,4,1,8,37,8,46,4.7
6,7,1,8,37,8,52,6.0
7,1,1,8,37,8,46,4.7
9,6,1,8,37,8,59,6.5
6,1,1,8,38,8,47,4.7
6,9,1,8,38,9,0,6.9
8,1,1,8,38,8,52,5.5
2,4,1,8,39,8,47,4.6
2,5,1,8,39,8,50,9.9
3,8,1,8,39,8,51,3.9
5,3,1,8,39,8,49,5.6
6,7,2,8,39,8,54,6.0
9,7,1,8,39,8,53,5.0
3,9,1,8,40,8,57,4.5
7,4,1,8,40,8,49,4.3
5,3,1,8,41,8,51,5.6
3,4,1,8,42,8,51,4.7
6,1,2,8,42,8,51,4.7
6,9,2,8,42,9,4,6.9
7,1,1,8,42,8,51,4.7
9,6,1,8,42,9,4,6.5
6,7,1,8,43,8,58,6.0
7,4,2,8,43,8,52,4.3
8,4,1,8,43,8,56,5.2
8,5,1,8,43,8,58,5.3
2,4,1,8,44,8,52,4.6
5,3,1,8,44,8,54,5.6
6,1,4,8,44,8,53,4.7
8,1,1,8,44,8,58,5.5
8,2,1,8,44,8,56,5.4
9,1,1,8,44,9,2,7.7
2,1,1,8,45,8,54,5.0
5,7,1,8,45,8,57,5.0
7,4,1,8,45,8,54,4.3
1,9,1,8,46,9,4,9.0
9,7,1,8,46,8,60,5.0
5,7,1,8,47,8,59,5.0
6,3,1,8,47,8,59,4.9
6,4,1,8,47,8,56,4.2
6,7,1,8,47,9,2,6.0
2,4,2,8,48,8,56,4.6
3,8,1,8,48,9,0,3.9
5,3,1,8,48,8,58,5.6
8,1,1,8,48,9,2,5.5
8,4,1,8,48,9,2,5.2
3,1,1,8,49,8,57,4.7
6,1,1,8,50,8,59,4.7
9,1,1,8,50,9,8,7.7
8,1,1,8,51,9,5,5.5
8,5,1,8,51,9,6,5.3
2,1,1,8,52,9,1,5.0
2,5,1,8,52,9,2,9.9
5,3,1,8,52,9,2,5.6
7,4,1,8,53,9,2,4.3
