n,m,cnt,depT_hr,depT_m,arrT_hr,arrT_m,maxWait_min
10,3,1,6,11,6,28,6.2
4,9,1,6,28,6,46,4.1
3,9,1,6,31,6,48,3.9
1,10,1,6,33,6,48,4.5
3,9,1,6,33,6,50,3.9
10,3,1,6,42,6,59,6.2
10,3,1,6,47,7,4,6.2
3,10,1,6,48,7,5,5.1
10,4,1,6,52,7,6,4.3
6,7,1,6,59,7,14,4.2
6,3,1,7,1,7,13,4.2
10,9,1,7,4,7,25,5.8
4,10,1,7,15,7,29,4.0
2,5,1,7,16,7,26,7.6
6,1,1,7,18,7,27,4.2
8,2,1,7,18,7,30,5.0
3,8,1,7,21,7,33,3.5
2,4,1,7,22,7,30,3.3
7,4,1,7,25,7,34,3.2
10,9,1,7,27,7,48,5.8
6,1,1,7,28,7,37,4.2
10,9,1,7,30,7,51,5.8
9,6,1,7,32,7,54,4.5
5,2,1,7,34,7,44,4.2
9,6,1,7,37,7,59,4.5
6,1,1,7,38,7,47,4.2
4,10,1,7,39,7,53,4.0
6,1,1,7,53,8,2,4.2
9,6,1,7,58,8,20,4.5
5,3,1,8,2,8,12,5.6
6,1,1,8,2,8,11,4.7
8,1,1,8,2,8,16,5.5
8,7,1,8,2,8,11,4.4
7,1,1,8,3,8,12,4.7
3,4,1,8,4,8,13,4.7
8,4,1,8,4,8,18,5.2
9,1,1,8,4,8,22,7.7
6,3,1,8,5,8,17,4.9
2,4,1,8,6,8,14,4.6
6,1,1,8,7,8,16,4.7
7,1,1,8,8,8,17,4.7
8,1,1,8,8,8,22,5.5
5,3,1,8,9,8,19,5.6
2,1,1,8,10,8,19,5.0
7,4,1,8,12,8,21,4.3
5,3,1,8,14,8,24,5.6
5,3,1,8,15,8,25,5.6
6,1,1,8,15,8,24,4.7
9,1,1,8,15,8,33,7.7
2,5,1,8,19,8,30,9.9
2,4,1,8,20,8,28,4.6
5,3,1,8,21,8,31,5.6
6,7,1,8,22,8,36,6.0
1,2,1,8,23,8,32,3.6
5,3,1,8,23,8,33,5.6
6,3,1,8,23,8,35,4.9
8,1,1,8,23,8,37,5.5
8,9,1,8,23,8,31,5.0
5,3,1,8,24,8,34,5.6
5,3,1,8,25,8,35,5.6
6,7,1,8,25,8,40,6.0
7,4,1,8,25,8,34,4.3
7,4,1,8,26,8,35,4.3
10,9,1,8,26,8,47,7.1
1,9,1,8,28,8,46,9.0
9,6,1,8,29,8,51,6.5
8,1,1,8,31,8,45,5.5
5,3,1,8,32,8,42,5.6
5,3,1,8,33,8,43,5.6
7,1,1,8,33,8,42,4.7
3,4,1,8,34,8,43,4.7
8,3,1,8,34,8,46,5.3
6,1,1,8,37,8,46,4.7
8,4,1,8,37,8,50,5.2
6,1,1,8,38,8,47,4.7
8,1,1,8,38,8,52,5.5
9,7,1,8,38,8,52,5.0
3,9,1,8,39,8,56,4.5
6,9,1,8,42,9,4,6.9
9,1,1,8,42,9,0,7.7
9,1,1,8,43,9,1,7.7
1,10,1,8,44,8,60,4.9
3,4,1,8,44,8,53,4.7
3,4,1,8,45,8,54,4.7
3,9,1,8,47,9,4,4.5
2,4,1,8,49,8,57,4.6
3,4,1,8,49,8,58,4.7
5,2,1,8,50,9,0,5.1
5,3,1,8,50,8,60,5.6
6,1,1,8,50,8,59,4.7
6,1,1,8,51,9,0,4.7
6,3,1,8,52,9,4,4.9
2,1,1,8,53,9,2,5.0
6,1,1,8,55,9,4,4.7
2,4,1,8,57,9,5,4.6
2,4,1,8,58,9,6,4.6
2,4,1,9,0,9,8,4.5
5,2,1,9,2,9,12,4.7
9,7,1,9,2,9,16,5.1
6,7,1,9,7,9,22,5.7
3,1,1,9,8,9,16,4.9
2,4,1,9,11,9,19,4.5
5,7,1,9,11,9,23,5.1
3,1,1,9,14,9,22,4.9
8,4,1,9,18,9,32,5.3
3,4,1,9,21,9,30,4.6
6,1,1,9,22,9,31,4.6
2,4,1,9,23,9,31,4.5
9,7,1,9,25,9,39,5.1
2,4,1,9,29,9,37,4.5
4,2,1,9,36,9,44,4.4
2,4,1,9,38,9,46,4.5
7,1,1,9,40,9,49,4.6
2,4,1,9,56,10,4,4.5
4,9,1,10,0,10,18,5.5
3,5,1,10,1,10,11,6.0
2,4,1,10,2,10,10,3.6
4,7,1,10,2,10,11,4.3
3,1,1,10,3,10,11,4.8
4,9,1,10,4,10,22,5.5
9,5,1,10,4,10,23,5.3
6,2,1,10,7,10,20,5.9
3,9,1,10,8,10,25,4.9
7,4,1,10,8,10,17,4.6
10,3,1,10,8,10,25,9.0
5,8,1,10,9,10,24,4.4
5,3,1,10,10,10,20,5.4
10,3,1,10,10,10,27,9.0
2,1,1,10,11,10,20,4.5
4,3,1,10,11,10,20,4.3
7,4,2,10,12,10,21,4.6
1,9,1,10,14,10,32,6.4
7,1,1,10,14,10,23,4.9
3,1,1,10,20,10,28,4.8
4,2,1,10,20,10,28,4.2
9,3,1,10,21,10,38,4.0
6,1,1,10,23,10,32,4.6
4,7,1,10,24,10,33,4.3
9,4,1,10,25,10,42,5.8
3,5,1,10,26,10,36,6.0
5,3,1,10,26,10,36,5.4
10,4,1,10,26,10,40,4.9
8,3,1,10,29,10,41,4.5
3,10,1,10,30,10,47,7.5
5,1,1,10,30,10,40,5.1
5,3,1,10,30,10,40,5.4
10,3,1,10,30,10,47,9.0
3,1,1,10,31,10,39,4.8
5,3,1,10,31,10,41,5.4
10,3,1,10,31,10,48,9.0
10,9,1,10,31,10,52,6.1
3,5,1,10,34,10,44,6.0
5,9,1,10,34,10,53,5.8
2,5,1,10,36,10,46,5.6
2,6,1,10,36,10,49,4.5
8,4,1,10,36,10,50,5.1
7,4,1,10,37,10,46,4.6
7,4,1,10,38,10,47,4.6
3,5,1,10,39,10,49,6.0
5,3,1,10,39,10,49,5.4
3,9,1,10,40,10,57,4.9
4,7,1,10,40,10,49,4.3
5,1,1,10,41,10,50,5.1
9,1,1,10,42,11,0,7.0
5,3,1,10,44,10,54,5.4
1,10,1,10,45,11,0,5.9
4,7,1,10,46,10,55,4.3
5,2,1,10,47,10,58,4.8
9,10,1,10,47,11,8,5.9
4,7,2,10,48,10,57,4.3
7,5,1,10,51,11,3,6.1
10,4,1,10,51,11,5,4.9
2,5,1,10,52,11,2,5.6
3,5,1,10,53,11,3,6.0
7,4,1,10,54,11,3,4.6
4,3,1,10,56,11,5,4.3
5,3,1,10,56,11,6,5.4
6,7,1,10,56,11,10,5.7
6,1,1,10,57,11,6,4.6
3,6,1,10,58,11,10,4.3
6,7,2,10,58,11,12,5.7
3,1,1,10,59,11,7,4.8
3,9,1,10,59,11,16,4.9
10,3,1,11,1,11,18,7.9
4,7,1,11,2,11,11,4.1
2,5,1,11,3,11,14,5.1
6,3,1,11,5,11,17,4.6
3,5,1,11,7,11,17,5.2
4,2,1,11,7,11,15,4.1
6,7,1,11,7,11,22,5.3
2,4,1,11,8,11,16,4.4
6,2,1,11,8,11,21,5.6
2,6,1,11,9,11,22,4.7
3,10,1,11,9,11,26,7.3
10,3,1,11,10,11,27,7.9
1,9,1,11,14,11,32,6.5
4,2,1,11,14,11,22,4.1
5,9,1,11,16,11,35,6.2
6,7,1,11,16,11,30,5.3
7,4,1,11,16,11,25,4.0
5,7,1,11,17,11,29,4.7
7,4,1,11,17,11,26,4.0
4,7,1,11,22,11,31,4.1
6,9,1,11,22,11,44,6.2
4,2,1,11,24,11,32,4.1
4,10,1,11,24,11,38,4.2
6,7,1,11,25,11,40,5.3
2,6,1,11,26,11,39,4.7
4,2,1,11,26,11,34,4.1
2,5,1,11,28,11,38,5.1
3,5,1,11,28,11,38,5.2
5,3,1,11,32,11,42,5.2
3,9,1,11,34,11,51,4.6
6,7,1,11,34,11,48,5.3
4,2,1,11,35,11,43,4.1
5,7,1,11,35,11,47,4.7
5,9,1,11,36,11,55,6.2
